Sample,x,y,pH,OM,P,SB
1,0.00,9.14,5.2,11.8,8.0,5.89
2,48.97,8.46,5.5,12.8,4.0,7.97
3,97.52,5.57,5.2,14.9,10.0,7.63
4,150.52,9.42,5.4,14.0,7.0,11.44
5,201.07,8.25,5.5,11.2,4.0,6.36
6,250.24,0.00,5.4,14.7,4.0,9.31
7,298.57,84.00,5.6,12.5,6.0,10.03
8,249.94,78.89,5.6,9.6,4.0,7.99
9,208.71,73.33,5.5,14.3,6.0,8.20
10,160.73,66.20,5.5,15.0,6.0,9.23
11,102.69,59.51,5.4,14.5,5.0,6.64
12,53.66,58.30,5.4,11.1,6.0,6.00
13,2.81,52.71,5.3,14.1,5.0,5.67
14,6.93,101.13,5.3,16.3,6.0,5.51
15,58.25,105.04,5.4,12.7,7.0,6.36
16,104.05,107.24,5.4,14.2,6.0,7.80
17,156.53,111.44,5.5,11.4,5.0,6.72
18,204.49,114.91,5.5,11.5,8.0,6.11
19,250.37,119.77,5.4,16.7,6.0,8.75
20,296.17,124.74,5.5,13.5,5.0,7.81
21,297.68,166.36,5.6,10.4,4.0,8.26
22,253.87,160.2,5.4,18.7,11.0,8.88
23,206.99,157.26,5.6,10.5,11.0,6.03
24,158.29,155.16,5.5,16.8,3.0,9.48
25,105.27,153.53,5.4,14.8,5.0,7.85
26,56.47,156.87,5.5,12.6,5.0,5.38
27,6.15,151.48,5.4,15.1,7.0,6.50
28,6.33,204.03,5.4,11.7,5.0,5.88
29,58.83,205.57,5.5,16.0,4.0,8.09
30,108.59,207.64,5.4,13.8,4.0,8.18
31,159.65,203.22,5.6,12.6,3.0,7.95
32,206.04,199.18,5.4,14.4,6.0,7.50
33,255.23,205.16,5.4,15.4,5.0,8.23
34,303.14,212.73,5.7,11.2,5.0,9.51
35,278.06,242.75,5.2,16.6,22.0,7.30
36,208.60,243.31,5.5,15.6,8.0,9.21
37,158.68,247.47,5.5,16.1,5.0,9.51
38,108.00,249.65,5.4,13.9,6.0,6.90
39,58.16,253.69,5.5,15.4,5.0,9.69
40,12.72,254.37,5.4,10.7,4.0,7.71
